Formula,Mass,Energy,Heat_of_formation?,Electronegativity_A,Electronegativity_B,First_Ionization_energy_A,First_Ionization_energy_B,Radius_A,Radius_B,PBE,G0W0
CrO2,83.994,-24.736,-1.693,1.66,3.44,652.9,1313.9,166,48,0.416,1.23
CrS2,116.116,-19.583,-0.673,1.66,2.58,652.9,999.6,166,88,0.877,1.448
CrSe2,209.938,-17.832,-0.486,1.66,2.55,652.9,941,166,103,0.685,1.165
CrTe2,307.196,-16.136,-0.106,1.66,2.12,652.9,869.3,166,123,0.453,0.812
HfO2,210.488,-27.664,-3.303,1.32,3.44,658.5,1313.9,208,48,4.777,7.939
HfO2,210.488,-25.997,-2.748,1.32,3.44,658.5,1313.9,208,48,1.928,4.7
HfS2,242.61,-20.439,-1.592,1.32,2.58,658.5,999.6,208,88,1.221,2.941
HfS2,242.61,-19.788,-1.375,1.32,2.58,658.5,999.6,208,88,1.061,2.826
HfSe2,336.432,-18.519,-1.349,1.32,2.55,658.5,941,208,103,0.427,1.795
HfSe2,336.432,-17.998,-1.175,1.32,2.55,658.5,941,208,103,0.812,2.123
HfTe2,433.69,-16.008,-0.697,1.32,2.12,658.5,869.3,208,123,0.132,0.849
MoO2,127.948,-27.388,-1.979,2.16,3.44,684.3,1313.9,190,48,0.912,2.317
MoS2,160.07,-22.121,-0.921,2.16,2.58,684.3,999.6,190,88,1.58,2.533
MoSe2,253.892,-20.291,-0.708,2.16,2.55,684.3,941,190,103,1.321,2.119
MoTe2,351.15,-18.513,-0.3,2.16,2.12,684.3,869.3,190,123,0.932,1.563
NiO2,90.691,-19.622,-0.709,1.92,3.44,737.1,1313.9,149,48,1.281,2.346
NiS2,122.813,-16.159,-0.252,1.92,2.58,737.1,999.6,149,88,0.583,1.868
PbO2,239.198,-16.418,-0.804,1.87,3.44,715.6,1313.9,154,48,1.346,2.995
PbS2,271.32,-11.928,-0.004,1.87,2.58,715.6,999.6,154,88,0.755,1.763
PbS2,271.32,-12.477,-0.187,1.87,2.58,715.6,999.6,154,88,1.39,3.184
PbSe2,365.142,-10.848,-0.041,1.87,2.55,715.6,941,154,103,0.082,0.389
PbSe2,365.142,-11.35,-0.208,1.87,2.55,715.6,941,154,103,1.027,2.644
PdO2,138.418,-15.267,-0.4,2.2,3.44,804.4,1313.9,169,48,1.379,2.903
PdS2,170.54,-12.563,-0.196,2.2,2.58,804.4,999.6,169,88,1.171,2.441
PdSe2,264.362,-11.58,-0.265,2.2,2.55,804.4,941,169,103,0.558,1.618
PdSe2,264.362,-10.855,-0.023,2.2,2.55,804.4,941,169,103,0.229,0.108
PtO2,227.082,-18.25,-0.549,2.28,3.44,870,1313.9,177,48,1.674,3.593
PtS2,259.204,-15.694,-0.395,2.28,2.58,870,999.6,177,88,1.688,2.945
PtSe2,353.026,-14.56,-0.413,2.28,2.55,870,941,177,103,1.167,2.385
PtTe2,450.284,-13.94,-0.392,2.28,2.12,870,869.3,177,123,0.303,1.245
ScO2,76.954,-22.19,-2.427,1.36,3.44,633.1,1313.9,184,48,1.463,4.412
ScS2,109.076,-16.518,-1.234,1.36,2.58,633.1,999.6,184,88,0.715,2.667
ScSe2,202.898,-15.004,-1.126,1.36,2.55,633.1,941,184,103,0.545,2.228
SnO2,150.708,-18.948,-1.548,1.96,3.44,708.6,1313.9,145,48,2.683,5.444
SnO2,150.708,-17.466,-1.054,1.96,3.44,708.6,1313.9,145,48,0.665,2.871
SnS2,182.83,-13.417,-0.402,1.96,2.58,708.6,999.6,145,88,1.587,3.15
SnS2,182.83,-12.558,-0.115,1.96,2.58,708.6,999.6,145,88,0.763,2.288
SnSe2,276.652,-12.064,-0.347,1.96,2.55,708.6,941,145,103,0.762,1.914
TiO2,79.865,-25.774,-2.945,1.54,3.44,658.8,1313.9,176,48,2.701,5.752
TiO2,79.865,-24.418,-2.493,1.54,3.44,658.8,1313.9,176,48,1.195,3.915
TiS2,111.987,-18.339,-1.164,1.54,2.58,658.8,999.6,176,88,0.734,2.208
TiSe2,205.809,-16.67,-1.005,1.54,2.55,658.8,941,176,103,0.522,1.481
VSe2,208.883,-17.614,-0.708,1.63,2.55,650.9,941,171,103,0.206,0.209
VTe2,306.141,-15.853,-0.306,1.63,2.12,650.9,869.3,171,123,0.13,0.171
WO2,215.838,-27.784,-2.017,2.36,3.44,770,1313.9,193,48,1.34,2.706
WS2,247.96,-22.262,-0.874,2.36,2.58,770,999.6,193,88,1.534,2.532
WSe2,341.782,-20.234,-0.594,2.36,2.55,770,941,193,103,1.238,2.104
WTe2,439.04,-18.223,-0.109,2.36,2.12,770,869.3,193,123,0.727,1.377
ZrO2,123.222,-27.548,-3.299,1.33,3.44,640.1,1313.9,206,48,4.448,7.722
ZrO2,123.222,-25.898,-2.749,1.33,3.44,640.1,1313.9,206,48,1.69,4.435
ZrS2,155.344,-19.746,-1.396,1.33,2.58,640.1,999.6,206,88,0.965,2.748
ZrSe2,249.166,-18.47,-1.367,1.33,2.55,640.1,941,206,103,0.337,1.708
ZrSe2,249.166,-18.038,-1.223,1.33,2.55,640.1,941,206,103,0.739,2.183
ZrTe2,346.424,-16.172,-0.786,1.33,2.12,640.1,869.3,206,123,0.259,0.936
AlN,40.989,-13.821,-0.865,1.61,3.04,577.5,1402.3,118,56,2.893,5.482
AlSb,148.742,-7.552,0.296,1.61,2.05,577.5,834,118,133,1.453,2.48
AsB,85.732,-10.633,0.368,2.18,2.04,947,800.6,114,87,0.757,1.377
BN,24.817,-17.642,-1.292,2.04,3.04,800.6,1402.3,87,56,4.667,6.93
BP,41.784,-12.128,-0.029,2.04,2.19,800.6,1011.8,87,98,0.898,1.693
BSb,132.57,-9.497,0.807,2.04,2.05,800.6,834,87,133,0.314,0.677
GaAs,144.645,-7.44,0.063,1.81,2.18,578.8,947,136,114,1.094,2.333
GaN,83.73,-11.262,-0.003,1.81,3.04,578.8,1402.3,136,56,1.877,3.878
GaP,100.697,-8.164,0.052,1.81,2.19,578.8,1011.8,136,98,1.583,3.124
InAs,189.74,-7.138,0.144,1.78,2.18,558.3,947,156,114,0.685,1.496
InN,128.825,-10.151,0.483,1.78,3.04,558.3,1402.3,156,56,0.616,1.188
InP,145.792,-7.757,0.186,1.78,2.19,558.3,1011.8,156,98,1.064,2.135
InSb,236.578,-6.695,0.237,1.78,2.05,558.3,834,156,133,0.471,1.145
Pt2O2,422.166,-21.85,0.277,2.28,3.44,870,1313.9,177,48,0.432,1.221
BaCl2,208.227,-12.907,-2.503,0.89,3.16,502.9,1251.2,253,79,5.618,9.207
CaBr2,199.886,-11.464,-2.094,1,2.96,589.8,1139.9,194,94,4.863,8.458
CaCl2,110.978,-12.846,-2.421,1,3.16,589.8,1251.2,194,79,5.784,9.883
CaI2,293.887,-9.967,-1.666,1,2.66,589.8,1008.4,194,115,3.537,6.92
CdBr2,272.222,-6.805,-0.903,1.69,2.96,867.8,1139.9,161,94,3.069,5.484
CdCl2,183.314,-7.849,-1.117,1.69,3.16,867.8,1251.2,161,79,3.868,6.723
CdI2,366.223,-5.683,-0.6,1.69,2.66,867.8,1008.4,161,115,2.136,4.037
CoBr2,218.741,-12.411,-0.337,1.88,2.96,760.4,1139.9,152,94,0.296,0.913
CoCl2,129.833,-13.606,-0.602,1.88,3.16,760.4,1251.2,152,79,0.351,0.986
FeBr2,215.653,-12.796,-0.195,1.83,2.96,762.5,1139.9,156,94,0.733,1.455
FeCl2,126.745,-14.026,-0.471,1.83,3.16,762.5,1251.2,156,79,0.843,1.721
FeI2,309.654,-11.778,0.073,1.83,2.66,762.5,1008.4,156,115,0.687,1.256
Br2Ge,232.438,-9.508,-0.607,2.96,2.01,1139.9,762,94,125,2.301,4.13
Cl2Ge,143.53,-10.462,-0.792,3.16,2.01,1251.2,762,79,125,2.617,4.76
GeI2,326.439,-8.553,-0.36,2.01,2.66,762,1008.4,125,115,1.954,3.348
HgBr2,360.4,-5.533,-0.493,2,2.96,1007.1,1139.9,171,94,1.982,3.786
HgCl2,271.492,-6.346,-0.63,2,3.16,1007.1,1251.2,171,79,2.447,4.618
HgI2,454.401,-4.682,-0.28,2,2.66,1007.1,1008.4,171,115,1.199,2.594
MgBr2,184.113,-9.383,-1.532,1.31,2.96,737.7,1139.9,145,94,4.588,7.716
MgCl2,95.205,-10.849,-1.887,1.31,3.16,737.7,1251.2,145,79,5.941,9.599
MgI2,278.114,-7.816,-1.081,1.31,2.66,737.7,1008.4,145,115,3.273,5.744
MnBr2,214.746,-15.233,-0.782,1.55,2.96,717.3,1139.9,161,94,1.477,3.596
NiBr2,218.501,-11.636,-0.406,1.92,2.96,737.1,1139.9,149,94,0.762,2.615
NiCl2,129.593,-12.74,-0.641,1.92,3.16,737.1,1251.2,149,79,1.217,3.422
OsBr2,350.038,-13.298,0.354,2.18,2.96,840,1139.9,185,94,1.157,2.463
OsCl2,261.13,-14.273,0.163,2.18,3.16,840,1251.2,185,79,1.33,2.881
OsI2,444.039,-12.835,0.437,2.18,2.66,840,1008.4,185,115,1.1,2.235
PbBr2,367.008,-9.823,-0.965,1.87,2.96,715.6,1139.9,154,94,2.004,4.207
PbCl2,278.1,-10.832,-1.168,1.87,3.16,715.6,1251.2,154,79,2.367,4.928
PdBr2,266.228,-7.668,-0.226,2.2,2.96,804.4,1139.9,169,94,0.118,1.252
PdCl2,177.32,-8.438,-0.349,2.2,3.16,804.4,1251.2,169,79,0.433,2.381
PtBr2,354.892,-9.45,0.025,2.28,2.96,870,1139.9,177,94,0.106,0.805
RuBr2,260.878,-12.937,-0.101,2.2,2.96,710.2,1139.9,178,94,1.045,2.403
RuCl2,171.97,-13.935,-0.301,2.2,3.16,710.2,1251.2,178,79,1.181,2.624
RuI2,354.879,-12.309,0.037,2.2,2.66,710.2,1008.4,178,115,1.022,1.988
SnCl2,189.61,-10.599,-0.991,1.96,3.16,708.6,1251.2,145,79,2.324,4.553
SrCl2,158.52,-12.649,-2.468,0.95,3.16,549.5,1251.2,219,79,5.738,9.502
VBr2,210.749,-14.283,-0.863,1.63,2.96,650.9,1139.9,171,94,1.252,3.013
VCl2,121.842,-15.615,-1.174,1.63,3.16,650.9,1251.2,171,79,1.354,3.456
ZnBr2,225.188,-6.883,-0.843,1.65,2.96,906.4,1139.9,142,94,3.353,5.864
ZnCl2,136.28,-8.075,-1.107,1.65,3.16,906.4,1251.2,142,79,4.453,7.439
ZnI2,319.189,-5.615,-0.492,1.65,2.66,906.4,1008.4,142,115,1.749,3.584
Br2Ge,232.438,-9.172,-0.495,2.96,2.01,1139.9,762,94,125,2.536,4.288
CaBr2,199.886,-11.077,-1.965,1,2.96,589.8,1139.9,194,94,4.128,7.587
CaCl2,110.978,-12.383,-2.267,1,3.16,589.8,1251.2,194,79,4.771,8.83
CdBr2,272.222,-6.441,-0.781,1.69,2.96,867.8,1139.9,161,94,2.369,4.648
CdCl2,183.314,-7.46,-0.988,1.69,3.16,867.8,1251.2,161,79,3.098,5.816
CdI2,366.223,-5.298,-0.472,1.69,2.66,867.8,1008.4,161,115,1.49,3.331
Cl2Ge,143.53,-10.11,-0.675,3.16,2.01,1251.2,762,79,125,2.955,4.93
FeBr2,215.653,-13.359,-0.382,1.83,2.96,762.5,1139.9,156,94,0.205,0.493
FeI2,309.654,-12.022,-0.008,1.83,2.66,762.5,1008.4,156,115,0.062,0.148
HfBr2,338.298,-14.145,-1.156,1.32,2.96,658.5,1139.9,208,94,0.732,1.759
HfCl2,249.39,-15.696,-1.54,1.32,3.16,658.5,1251.2,208,79,0.908,2.092
HfI2,432.299,-12.486,-0.675,1.32,2.66,658.5,1008.4,208,115,0.63,1.421
HgBr2,360.4,-5.233,-0.393,2,2.96,1007.1,1139.9,171,94,1.573,3.298
HgCl2,271.492,-6.034,-0.526,2,3.16,1007.1,1251.2,171,79,2.084,4.192
MgBr2,184.113,-8.876,-1.363,1.31,2.96,737.7,1139.9,145,94,3.57,6.502
MgCl2,95.205,-10.279,-1.697,1.31,3.16,737.7,1251.2,145,79,4.762,8.21
MgI2,278.114,-7.339,-0.922,1.31,2.66,737.7,1008.4,145,115,2.566,4.921
MnBr2,214.746,-14.847,-0.653,1.55,2.96,717.3,1139.9,161,94,1.587,2.016
MnCl2,125.838,-16.057,-0.923,1.55,3.16,717.3,1251.2,161,79,1.713,0.046
OsBr2,350.038,-11.593,0.923,2.18,2.96,840,1139.9,185,94,0,0.727
OsCl2,261.13,-12.593,0.723,2.18,3.16,840,1251.2,185,79,0,0.912
PbBr2,367.008,-9.578,-0.883,1.87,2.96,715.6,1139.9,154,94,2.275,4.436
PbCl2,278.1,-10.549,-1.073,1.87,3.16,715.6,1251.2,154,79,2.775,5.249
PbI2,461.009,-8.559,-0.615,1.87,2.66,715.6,1008.4,154,115,1.577,3.338
PdCl2,177.32,-7.594,-0.068,2.2,3.16,804.4,1251.2,169,79,0,0.049
RuBr2,260.878,-11.823,0.27,2.2,2.96,710.2,1139.9,178,94,0.278,0.809
ScBr2,204.764,-12.592,-1.587,1.36,2.96,633.1,1139.9,184,94,0.157,0.306
ScCl2,115.856,-14.031,-1.934,1.36,3.16,633.1,1251.2,184,79,0.107,0.146
SnBr2,278.518,-9.36,-0.711,1.96,2.96,708.6,1139.9,145,94,2.499,4.268
SnCl2,189.61,-10.31,-0.895,1.96,3.16,708.6,1251.2,145,79,2.745,4.772
SnI2,372.519,-8.374,-0.454,1.96,2.66,708.6,1008.4,145,115,1.926,3.332
SrCl2,158.52,-12.204,-2.32,0.95,3.16,549.5,1251.2,219,79,4.944,8.483
TiBr2,207.675,-13.294,-1.145,1.54,2.96,658.8,1139.9,176,94,0.758,1.421
TiCl2,118.767,-14.871,-1.537,1.54,3.16,658.8,1251.2,176,79,0.903,1.636
TiI2,301.676,-11.655,-0.67,1.54,2.66,658.8,1008.4,176,115,0.596,1.09
YBr2,248.714,-13.047,-1.728,1.22,2.96,600,1139.9,212,94,0.344,1.354
YCl2,159.806,-14.407,-2.048,1.22,3.16,600,1251.2,212,79,0.374,1.611
YI2,342.715,-11.565,-1.306,1.22,2.66,600,1008.4,212,115,0.1,0.375
ZnBr2,225.188,-6.376,-0.674,1.65,2.96,906.4,1139.9,142,94,2.411,4.742
ZnCl2,136.28,-7.553,-0.933,1.65,3.16,906.4,1251.2,142,79,3.434,6.241
ZnI2,319.189,-5.075,-0.312,1.65,2.66,906.4,1008.4,142,115,0.898,2.668
ZrBr2,251.032,-14.59,-1.339,1.33,2.96,640.1,1139.9,206,94,0.828,1.737
ZrCl2,162.124,-16.088,-1.705,1.33,3.16,640.1,1251.2,206,79,0.981,1.993
ZrI2,345.033,-13.004,-0.882,1.33,2.66,640.1,1008.4,206,115,0.687,1.428
Ge2S2,209.38,-18.174,-0.246,2.01,2.58,762,999.6,125,88,1.714,3.03
Ge2Se2,303.202,-16.819,-0.205,2.01,2.55,762,941,125,103,1.121,1.861
Ge2Te2,400.46,-15.601,-0.04,2.01,2.12,762,869.3,125,123,0.815,1.286
Pb2S2,478.52,-17.73,-0.514,1.87,2.58,715.6,999.6,154,88,1.162,2.225
Pb2Se2,572.342,-16.524,-0.51,1.87,2.55,715.6,941,154,103,0.789,1.623
Pb2Te2,669.6,-15.312,-0.346,1.87,2.12,715.6,869.3,154,123,0.445,1.246
S2Si2,120.29,-19.18,-0.056,2.58,1.98,999.6,786.5,88,111,1.417,2.884
Se2Si2,214.112,-17.506,0.065,2.55,1.98,941,786.5,103,111,1.195,2.438
Si2Te2,311.37,-16.206,0.251,1.98,2.12,786.5,869.3,111,123,0.388,0.772
Sn2S2,301.54,-17.928,-0.415,1.96,2.58,708.6,999.6,145,88,1.414,2.503
Sn2Se2,395.362,-16.634,-0.389,1.96,2.55,708.6,941,145,103,0.923,1.629
Sn2Te2,492.62,-15.385,-0.216,1.96,2.12,708.6,869.3,145,123,0.603,1.009
Al2O2,85.961,-26.757,-2.258,1.61,3.44,577.5,1313.9,118,48,1.315,2.568
Al2S2,118.083,-19.175,-0.886,1.61,2.58,577.5,999.6,118,88,2.085,3.774
Al2Se2,211.905,-17.311,-0.717,1.61,2.55,577.5,941,118,103,1.997,3.537
Bi2O2,449.959,-22.458,-0.715,2.02,3.44,703,1313.9,143,48,0.12,1.186
Ga2O2,171.444,-21.857,-1.451,1.81,3.44,578.8,1313.9,136,48,1.556,3.851
Ga2S2,203.566,-16.619,-0.664,1.81,2.58,578.8,999.6,136,88,2.321,4.084
In2O2,261.634,-20.335,-1.14,1.78,3.44,558.3,1313.9,156,48,0.385,1.867
In2S2,293.756,-15.905,-0.556,1.78,2.58,558.3,999.6,156,88,1.675,3.149
Ir2O2,416.432,-29.447,-0.162,2.2,3.44,880,1313.9,180,48,0.122,0.234
Ir2S2,448.554,-26.893,-0.046,2.2,2.58,880,999.6,180,88,0.297,0.094
Ir2Se2,542.376,-24.931,0.147,2.2,2.55,880,941,180,103,0.305,0.439
Rh2Se2,363.753,-21.918,-0.164,2.28,2.55,719.7,941,173,103,0.101,0.307
Sc2O2,121.91,-30.625,-2.764,1.36,3.44,633.1,1313.9,184,48,0.7,1.355
Sc2S2,154.032,-22.567,-1.273,1.36,2.58,633.1,999.6,184,88,0.414,1.004
Sc2Se2,247.854,-20.482,-1.049,1.36,2.55,633.1,941,184,103,0.4,0.851
Sc2Te2,345.112,-17.987,-0.564,1.36,2.12,633.1,869.3,184,123,0.291,0.556
Ti2Te2,350.934,-20.176,-0.096,1.54,2.12,658.8,869.3,176,123,0.217,0.411
V2S2,166.003,-26.916,-0.428,1.63,2.58,650.9,999.6,171,88,0.214,0.366
V2Se2,259.825,-24.887,-0.218,1.63,2.55,650.9,941,171,103,0.257,0.572
V2Te2,357.083,-22.72,0.185,1.63,2.12,650.9,869.3,171,123,0.224,0.55
C2F2,62.019,-25.262,-0.912,2.55,3.98,1086.5,1681,67,42,3.165,7.195
C2H2,26.038,-25.623,-0.134,2.55,2.2,1086.5,1312,67,53,3.46,6.416
F2Ge2,183.257,-18.07,-1.466,3.98,2.01,1681,762,42,125,0,0.35
Ge2H2,147.276,-15.35,0.082,2.01,2.2,762,1312,125,53,0.92,2.353
F2Si2,94.167,-21.041,-1.767,3.98,1.98,1681,786.5,42,111,0.666,2.333
H2Si2,58.186,-17.425,0.005,2.2,1.98,1312,786.5,53,111,2.171,3.833
